id,description,status,pictid,pictype,group,cat1,cat2,price1,price2,price3,price4,buy1,buy2,buy3,buy4,oldprice1,oldprice2,oldprice3,oldprice4,CatgDisplayNum
6110s20,1950 Air Mail (Birds 6),In Stock,6110s20,0,"Sets, SS, FDC",C 44-49,S C1-C6,225.00,14.00,29.00,15.00,1,1,1,1,,,,,2
6110s21,1950 Festivals 5711 (Four Species),In Stock,6110s21,0,"Sets, SS, FDC","C 50,51","S 35,36",45.00,0.52,1.38,0.45,1,1,1,1,,,,,2
6110s22,1950 3rd Maccabiah,In Stock,6110s22,0,"Sets, SS, FDC",C 52,S 37,70.00,1.30,2.63,1.50,1,1,1,1,,,,,2
6110s23,1950 Coins (6),In Stock,6110s23,0,"Sets, SS, FDC",C 53-58,S 38-43,2.10,0.39,125.00,0.33,1,1,1,1,,,,,2
6110s25,1950 Negev (Camels),In Stock,6110s25,0,"Sets, SS, FDC",C 69,S 25,250.00,8.20,15.00,8.00,1,1,1,1,,,,,2
6110s26,1951 Official stamps (Coins 4),In Stock,6110s26,0,"Sets, SS, FDC",C 70-73,S O1-O4,18.80,0.30,1.00,0.22,1,1,1,1,,,,,2
6110s27,1951 Tel-Aviv,In Stock,6110s27,0,"Sets, SS, FDC",C 74,S 44,22.50,0.30,0.55,0.25,1,1,1,1,,,,,2
6110s28,1951 Independence Bonds,In Stock,6110s28,0,"Sets, SS, FDC",C 75,S 45,3.00,0.17,0.45,0.12,1,1,1,1,,,,,2
6110s29,1951 3rd Independence (Battles sites),In Stock,6110s29,0,"Sets, SS, FDC","C 76,77","S 46,47",42.50,0.71,0.70,0.45,1,1,1,1,,,,,2
6110s30,1951 J.N.F.,In Stock,6110s30,0,"Sets, SS, FDC",C 78-80,S 48-50,113.00,0.94,0.70,0.75,1,1,1,1,,,,,2
6110s31,1951 Zionist Congress (Herzl),In Stock,6110s31,0,"Sets, SS, FDC",C 81,S 51,2.75,0.21,0.45,0.12,1,1,1,1,,,,,2
6110s32,1951 Festivals 5712,In Stock,6110s32,0,"Sets, SS, FDC",C 82-84,S 52-54,2.10,0.24,0.45,0.20,1,1,1,1,,,,,2
6110s33,1952 Menorah,In Stock,6110s33,0,"Sets, SS, FDC",C 85,S 55,275.00,8.64,10.00,15.00,1,1,1,1,,,,,2
6110s34,1952 Coins 20-85 (6),In Stock,6110s34,0,"Sets, SS, FDC",C 59-64,S 56-61,10.00,0.48,2.38,0.33,1,1,1,1,,,,,2
6110s35,1952 TABA,In Stock,6110s35,0,"Sets, SS, FDC","C 86,87","S C7,C8",20.80,0.71,2.00,0.50,1,1,1,1,,,,,2
6110s36,1952 4th Independence (Battles sites),In Stock,6110s36,0,"Sets, SS, FDC",C 88-90,S 62-64,27.50,0.52,0.60,0.50,1,1,1,1,,,,,2
6110s37,1952 America Zionist House,In Stock,6110s37,0,"Sets, SS, FDC",C 91,S 65,19.50,0.35,0.50,0.25,1,1,1,1,,,,,2
6110s38,1952 Festivals 5713 (Song of Solomon),In Stock,6110s38,0,"Sets, SS, FDC",C 92-95,S 66-69,36.30,1.04,1.10,0.75,1,1,1,1,,,,,2
6110s39,1952 Postage Due (Running Stag 9),In Stock,6110s39,0,"Sets, SS, FDC",C 96-104,S J12-J20,11.00,0.52,1.50,0.48,1,1,1,1,,,,,2
6110s40,1952 Weizmann,In Stock,6110s40,0,"Sets, SS, FDC","C 105,106","S 70,71",12.50,0.43,0.45,0.28,1,1,1,1,,,,,2
6110s41,1952 BILU,In Stock,6110s41,0,"Sets, SS, FDC",C 107,S 72,12.00,0.17,0.28,0.15,1,1,1,1,,,,,2
6110s42,1953 Yafo (Air Mail - Landscapes),In Stock,6110s42,0,"Sets, SS, FDC",C 115,S C16,102.00,2.16,8.00,2.75,1,1,1,1,,,,,2
6110s43,1953 5th Independence,In Stock,6110s43,0,"Sets, SS, FDC",C 117,S 73,2.50,0.43,0.45,0.12,1,1,1,1,,,,,2
6110s44,1953 RAMBAM,In Stock,6110s44,0,"Sets, SS, FDC",C 118,S 74,3.00,0.71,1.58,0.50,1,1,1,1,,,,,2
6110s45,1953 Festivals 5714 (Holy Arks),In Stock,6110s45,0,"Sets, SS, FDC",C 119-121,S 75-77,8.00,0.43,0.60,0.30,1,1,1,1,,,,,2
6110s46,1953 4th Maccabiah,In Stock,6110s46,0,"Sets, SS, FDC",C 122,S 78,2.50,0.17,0.33,0.12,1,1,1,1,,,,,2
6110s47,1953 Desert Conquest,In Stock,6110s47,0,"Sets, SS, FDC",C 123,S 79,4.00,0.17,0.33,0.12,1,1,1,1,,,,,2
6110s48,1954 Air Mail 10-500 (Landscapes 6),In Stock,6110s48,0,"Sets, SS, FDC",C 108-113,S C9-C14,3.70,0.40,3.90,0.42,1,1,1,1,,,,,2
6110s49,1954 Coins 80-125 (4),In Stock,6110s49,0,"Sets, SS, FDC",C 65-68,S 80-83,1.80,0.24,1.04,0.20,1,1,1,1,,,,,2
6110s50,"1954 6th Independence (Yehiam, Gesher)",In Stock,6110s50,0,"Sets, SS, FDC","C 124,125","S 84,85",1.25,0.20,0.52,0.15,1,1,1,1,,,,,2
6110s51,1954 Herzl,In Stock,6110s51,0,"Sets, SS, FDC",C 126,S 86,0.72,0.22,0.72,0.20,1,1,1,1,,,,,2
6110s52,1954 Festivals 5715 (Spies),In Stock,6110s52,0,"Sets, SS, FDC",C 127,S 87,0.13,0.12,0.18,0.07,1,1,1,1,,,,,2
6110s53,1954 TABIM,In Stock,6110s53,0,"Sets, SS, FDC","C 128,129","S 88,89",1.10,0.22,0.44,0.13,1,1,1,1,,,,,2
6110s54,1954 Rothschild,In Stock,6110s54,0,"Sets, SS, FDC",C 130,S 90,0.60,0.12,0.42,0.11,1,1,1,1,,,,,2
6110s55,1955 Teachers Association,In Stock,6110s55,0,"Sets, SS, FDC",C 131,S 91,0.47,0.13,0.31,0.11,1,1,1,1,,,,,2
6110s56,1955 Parachutists,In Stock,6110s56,0,"Sets, SS, FDC",C 132,S 92,0.26,0.13,0.31,0.12,1,1,1,1,,,,,2
6110s57,1955 7th Independence (Menorah),In Stock,6110s57,0,"Sets, SS, FDC",C 133,S 93,0.26,0.16,0.39,0.16,1,1,1,1,,,,,2
6110s58,1955 Youth Immigration (Aliyah) (6),In Stock,6110s58,0,"Sets, SS, FDC",C 134-139,S 94-99,1.80,0.58,1.95,0.45,1,1,1,1,,,,,2
6110s59,1955 Festivals 5716 (Musical Instruments),In Stock,6110s59,0,"Sets, SS, FDC",C 140-143,S 100-103,0.47,0.28,0.57,0.32,1,1,1,1,,,,,2
6110s60,1955 Magen David Adom,In Stock,6110s60,0,"Sets, SS, FDC",C 144,S 104,0.21,0.16,0.39,0.10,1,1,1,1,,,,,2
6110s61,1955 Tribes,In Stock,6110s61,0,"Sets, SS, FDC",C 145-156,S 105-116,3.12,0.58,1.20,0.55,1,1,1,1,,,,,2
6110s63,1956 Einstein,In Stock,6110s63,0,"Sets, SS, FDC",C 157,S 117,0.30,0.13,0.36,0.10,1,1,1,1,,,,,2
6110s64,1956 Technion,In Stock,6110s64,0,"Sets, SS, FDC",C 158,S 118,0.16,0.13,0.26,0.11,1,1,1,1,,,,,2
6110s65,1956 8th Independence,In Stock,6110s65,0,"Sets, SS, FDC",C 159,S 119,0.18,0.13,0.26,0.08,1,1,1,1,,,,,2
6110s66,1956 Citrus,In Stock,6110s66,0,"Sets, SS, FDC",C 160,S 120,0.40,0.16,0.29,0.11,1,1,1,1,,,,,2
6110s67,1956 Festivals 5717 (Musical Instruments),In Stock,6110s67,0,"Sets, SS, FDC",C 161-163,S 121-123,0.29,0.24,0.26,0.21,1,1,1,1,,,,,2
6110s68,1956 Hula (Air Mail - Landscapes),In Stock,6110s68,0,"Sets, SS, FDC",C 114,S C15,0.16,0.08,0.21,0.11,1,1,1,1,,,,,2
6110s69,1956 Tiberias (Air Mail - Landscapes),In Stock,6110s69,0,"Sets, SS, FDC",C 116,S C17,0.60,0.48,0.29,0.24,1,1,1,1,,,,,2
6110s70,1957 Defence Stamps,In Stock,6110s70,0,"Sets, SS, FDC",C 164-166,S 124-126,0.29,0.16,0.19,0.16,1,1,1,1,,,,,2
6110s71,1957 Bezalel,In Stock,6110s71,0,"Sets, SS, FDC",C 167,S 127,0.13,0.13,0.13,0.10,1,1,1,1,,,,,2
6110s72,1957 9th Independence,In Stock,6110s72,0,"Sets, SS, FDC",C 168,S 128,0.13,0.13,0.13,0.10,1,1,1,1,,,,,2
6110s73,1957 Festivals 5718 (Seals),In Stock,6110s73,0,"Sets, SS, FDC",C 169-171,S 129-131,0.21,0.19,0.21,0.19,1,1,1,1,,,,,2
6110s74,1957 TABIL - Souvenir Sheet,In Stock,6110s74,0,"Sets, SS, FDC",C B2,S 132,0.32,0.40,0.32,0.32,1,1,1,1,,,,,2
6110s75,1958 Maccabiah,In Stock,6110s75,0,"Sets, SS, FDC",C 176,S 137,0.13,0.12,0.16,0.11,1,1,1,1,,,,,2
6110s76,1958 Ships (4),In Stock,6110s76,0,"Sets, SS, FDC",C 177-180,S 138-141,0.58,0.40,0.34,0.32,1,1,1,1,,,,,2
6110s77,1958 10th Independence (Menorah),In Stock,6110s77,0,"Sets, SS, FDC",C 181,S 142,0.19,0.16,0.16,0.16,1,1,1,1,,,,,2
6110s78,1958 Tenth Anniversary Exhibition,In Stock,6110s78,0,"Sets, SS, FDC",C 182,S 144,0.13,0.16,0.16,0.11,1,1,1,1,,,,,2
6110s79,1958 Youth Conference,In Stock,6110s79,0,"Sets, SS, FDC",C 183,S 143,0.13,0.16,0.16,0.11,1,1,1,1,,,,,2
6110s80,1958 Festivals 5719 (of Seven Species),In Stock,6110s80,0,"Sets, SS, FDC",C 184-187,S 145-148,0.47,0.40,0.42,0.32,1,1,1,1,,,,,2
6110s81,1958 Human Rights,In Stock,6110s81,0,"Sets, SS, FDC",C 188,S 149,0.39,0.16,0.21,0.13,1,1,1,1,,,,,2
6110s82,1959 Postal Activities,In Stock,6110s82,0,"Sets, SS, FDC",C 189-192,S 150-153,0.52,0.40,0.37,0.26,1,1,1,1,,,,,2
6110s83,1959 Shalom Aleichem - Centenary,In Stock,6110s83,0,"Sets, SS, FDC",C 193,S 154,0.13,0.16,0.16,0.12,1,1,1,1,,,,,2
6110s84,1959 Tel-Aviv,In Stock,6110s84,0,"Sets, SS, FDC",C 194,S 160,0.13,0.16,0.16,0.12,1,1,1,1,,,,,2
6110s85,1959 11th Independence (Flowers),In Stock,6110s85,0,"Sets, SS, FDC",C 195-197,S 157-159,0.45,0.32,0.32,0.29,1,1,1,1,,,,,2
6110s86,1959 Aviation,In Stock,6110s86,0,"Sets, SS, FDC",C 199,S 161,0.21,0.16,0.16,0.13,1,1,1,1,,,,,2
6110s87,1959 Bialik,In Stock,6110s87,0,"Sets, SS, FDC",C 198,S 155,0.19,0.16,0.16,0.13,1,1,1,1,,,,,2
6110s88,1959 Festivals 5720 (of Seven Species),In Stock,6110s88,0,"Sets, SS, FDC",C 200-202,S 162-164,0.60,0.36,0.34,0.34,1,1,1,1,,,,,2
6110s89,1959 Ben-Yehuda,In Stock,6110s89,0,"Sets, SS, FDC",C 203,S 156,0.29,0.19,0.21,0.13,1,1,1,1,,,,,2
6110s90,1959 Settlements,In Stock,6110s90,0,"Sets, SS, FDC",C 204-206,S 165-167,1.05,0.36,0.39,0.32,1,1,1,1,,,,,2
6110s91,1960 Provisional Stamps (11),In Stock,6110s91,0,"Sets, SS, FDC",C 207-217,"S 168-177, 171A",1.05,0.48,0.52,0.42,1,1,1,1,,,,,2
6110s93,1960 Airmail Towns (9),In Stock,6110s93,0,"Sets, SS, FDC",C 218-226,S C18-C26,7.80,1.85,2.10,1.30,1,1,1,1,,,,,2
6110s94,1960 Airmail Eilat,In Stock,6110s94,0,"Sets, SS, FDC",C 227,S C27,15.00,0.95,2.47,1.70,1,1,1,1,,,,,2
6110s95,1960 Refugee Year,In Stock,6110s95,0,"Sets, SS, FDC","C 228,229","S 178,179",0.32,0.24,0.21,0.21,1,1,1,1,,,,,2
6110s96,1960 12th Independence (Flowers),In Stock,6110s96,0,"Sets, SS, FDC","C 230,231","S 180,181",0.52,0.24,0.24,0.21,1,1,1,1,,,,,2
6110s97,1960 Atomic Reactor,In Stock,6110s97,0,"Sets, SS, FDC",C 232,S 182,0.39,0.19,0.24,0.16,1,1,1,1,,,,,2
6110s98,1960 Festivals 5721 (Kings),In Stock,6110s98,0,"Sets, SS, FDC",C 233-235,S 184-186,1.30,0.48,0.47,0.42,1,1,1,1,,,,,2
6110s99,1960 Herzl,In Stock,6110s99,0,"Sets, SS, FDC",C 236,S 183,0.39,0.19,0.24,0.16,1,1,1,1,,,,,2
6110s100,1960 TAVIV,In Stock,6110s100,0,"Sets, SS, FDC",C 237,S 187,0.94,0.38,0.24,0.16,1,1,1,1,,,,,2
6110s101,1960 TAVIV - Souvenir Sheet,In Stock,6110s101,0,"Sets, SS, FDC",C B3,S 187a,20.00,14.00,39.00,20.00,1,1,1,1,,,,,2
6110s102,1960 Henrietta Szold,In Stock,6110s102,0,"Sets, SS, FDC",C 240,S 188,0.24,0.16,0.21,0.11,1,1,1,1,,,,,2
6110s103,1960 Zionist Congress,In Stock,6110s103,0,"Sets, SS, FDC",C 239,S 189,0.91,0.19,0.24,0.16,1,1,1,1,,,,,2
6110s104,1961 Zodiac (13),In Stock,6110s104,0,"Sets, SS, FDC",C 241-253,S 190-202,4.20,1.00,1.00,1.00,1,1,1,1,,,,,2
6110s106,1961 13th Independence (Flowers),In Stock,6110s106,0,"Sets, SS, FDC",C 254-256,S 204-206,0.73,0.38,0.26,0.26,1,1,1,1,,,,,2
6110s107,1961 7th Hapoel Convention,In Stock,6110s107,0,"Sets, SS, FDC",C 257,S 203,0.29,0.19,0.24,0.13,1,1,1,1,,,,,2
6110s108,1961 Development Bonds,In Stock,6110s108,0,"Sets, SS, FDC",C 258,S 207,0.32,0.19,0.24,0.13,1,1,1,1,,,,,2
6110s109,1961 Festivals 5722 (Heroes),In Stock,6110s109,0,"Sets, SS, FDC",C 259-261,S 208-210,1.30,0.48,0.47,0.42,1,1,1,1,,,,,2
6110s110,1961 Baal Shem Tov,In Stock,6110s110,0,"Sets, SS, FDC",C 262,S 211,0.29,0.19,0.24,0.13,1,1,1,1,,,,,2
6110s111,1961 Philharmmonic Orchestra,In Stock,6110s111,0,"Sets, SS, FDC",C 263,S 214,1.43,0.48,0.39,0.29,1,1,1,1,,,,,2
6110s112,1961 Afforestation,In Stock,6110s112,0,"Sets, SS, FDC","C 264,265","S 212,213",1.43,0.45,0.39,0.26,1,1,1,1,,,,,2
6110s113,1962 Zodiac Signs - Overprints,In Stock,6110s113,0,"Sets, SS, FDC",C 266-268,S 215-217,0.21,0.19,0.21,0.16,1,1,1,1,,,,,2
6110s114,1962 Malaria Eradication,In Stock,6110s114,0,"Sets, SS, FDC",C 270,S 218,0.32,0.19,0.21,0.16,1,1,1,1,,,,,2
6110s115,1962 Rosh Pinna,In Stock,6110s115,0,"Sets, SS, FDC",C 269,S 219,0.32,0.19,0.21,0.16,1,1,1,1,,,,,2
6110s116,1962 Heroes and Martyrs,In Stock,6110s116,0,"Sets, SS, FDC","C 271,272","S 220,221",1.12,0.48,0.42,0.42,1,1,1,1,,,,,2
6110s117,1962 14th Independence (Aircrafts),In Stock,6110s117,0,"Sets, SS, FDC","C 273,274","S 222,223",1.90,0.45,0.39,0.39,1,1,1,1,,,,,2
6110s118,1962 Near East Fair,In Stock,6110s118,0,"Sets, SS, FDC",C 275,S 224,0.58,0.19,0.29,0.24,1,1,1,1,,,,,2
6110s119,1962 Festivals 5723,In Stock,6110s119,0,"Sets, SS, FDC",C 276-278,S 225-227,1.82,0.59,0.65,0.47,1,1,1,1,,,,,2
6110s120,1962 EL-AL,In Stock,6110s120,0,"Sets, SS, FDC",C 279,S 228,0.91,0.38,0.39,0.24,1,1,1,1,,,,,2
6110s121,1962 EL-AL - Souvenir Sheet,In Stock,6110s121,0,"Sets, SS, FDC",C B4,S 228a,2.60,2.40,9.40,2.60,1,1,1,1,,,,,2
6110s122,1962 Red Sea Fishes 1,In Stock,6110s122,0,"Sets, SS, FDC",C 283-286,S 231-234,0.58,0.48,0.70,0.42,1,1,1,1,,,,,2
6110s123,1962 United Jewish Appeal,In Stock,6110s123,0,"Sets, SS, FDC",C 281,S 229,0.34,0.24,0.26,0.21,1,1,1,1,,,,,2
6110s124,1962 Korczak,In Stock,6110s124,0,"Sets, SS, FDC",C 282,S 230,0.84,0.38,0.32,0.29,1,1,1,1,,,,,2
6110s125,1963 Air Mail - Birds (10),In Stock,6110s125,0,"Sets, SS, FDC",C 287-296,S C28-C37,5.75,2.40,3.12,1.95,1,1,1,1,,,,,2
6110s126,1963 Stockade and Tower,In Stock,6110s126,0,"Sets, SS, FDC","C 297,298","S 235,236",0.73,0.38,0.26,0.21,1,1,1,1,,,,,2
6110s127,1963 Freedom From Hunger,In Stock,6110s127,0,"Sets, SS, FDC",C 299,S 237,0.60,0.28,0.26,0.21,1,1,1,1,,,,,2
6110s132,1963 15th Independence (Flowers),In Stock,6110s132,0,"Sets, SS, FDC",C 300-302,S 238-240,2.34,0.66,0.68,0.63,1,1,1,1,,,,,2
6110s133,1963 Halbanon,In Stock,6110s133,0,"Sets, SS, FDC",C 303,S 241,0.73,0.38,0.32,0.26,1,1,1,1,,,,,2
6110s135,1963 Festivals 5724 (Jonah Book),In Stock,6110s135,0,"Sets, SS, FDC",C 304-306,S 242-244,3.80,0.66,0.47,0.68,1,1,1,1,,,,,2
6110s136,1963 Year of Pioneers,In Stock,6110s136,0,"Sets, SS, FDC",C 307,S 245,0.58,0.19,0.24,0.16,1,1,1,1,,,,,2
6110s137,1963 S/S Shalom,In Stock,6110s137,0,"Sets, SS, FDC",C 312,S 250,6.80,0.87,0.86,0.73,1,1,1,1,,,,,2
6110s138,1963 Red Sea Fishes 2,In Stock,6110s138,0,"Sets, SS, FDC",C 308-311,S 246-249,1.43,0.66,0.70,0.58,1,1,1,1,,,,,2
6110s139,1964 National Insurance,In Stock,6110s139,0,"Sets, SS, FDC",C 313-316,S 251-254,3.90,0.80,0.78,0.70,1,1,1,1,,,,,2
6110s140,1964 Izhak Ben-Zvi,In Stock,6110s140,0,"Sets, SS, FDC",C 317,S 255,0.18,0.12,0.26,0.13,1,1,1,1,,,,,2
6110s141,1964 16th Independence (Science),In Stock,6110s141,0,"Sets, SS, FDC",C 318-320,S 256-258,2.86,0.66,0.50,0.55,1,1,1,1,,,,,2
6110s142,1964 Tokyo 64',In Stock,6110s142,0,"Sets, SS, FDC",C 321-324,S 259-262,0.73,0.48,0.44,0.42,1,1,1,1,,,,,2
6110s143,1964 Medical Congress,In Stock,6110s143,0,"Sets, SS, FDC",C 325,S 263,0.58,0.38,0.26,0.24,1,1,1,1,,,,,2
6110s144,1964 Festivals 5725 (Glass Vessels),In Stock,6110s144,0,"Sets, SS, FDC",C 326-328,S 264-266,1.10,0.48,0.42,0.42,1,1,1,1,,,,,2
6110s145,1964 Chess Olympic Games,In Stock,6110s145,0,"Sets, SS, FDC","C 329,330","S 269,270",1.75,1.10,1.17,0.73,1,1,1,1,,,,,2
6110s146,1964 Eleanor Roosevelt,In Stock,6110s146,0,"Sets, SS, FDC",C 331,S 268,0.42,0.24,0.26,0.21,1,1,1,1,,,,,2
6110s147,1964 Blockade Runners,In Stock,6110s147,0,"Sets, SS, FDC",C 332,S 267,0.24,0.20,0.26,0.13,1,1,1,1,,,,,2
6110s148,1964 TABAI,In Stock,6110s148,0,"Sets, SS, FDC",C 333,S 271,1.30,0.28,0.50,0.29,1,1,1,1,,,,,2
6110s149,1964 TABAI - Souvenir Sheet,In Stock,6110s149,0,"Sets, SS, FDC",C B5,S 271a,1.50,2.60,2.35,1.50,1,1,1,1,,,,,2
6110s150,1965 Masada,In Stock,6110s150,0,"Sets, SS, FDC",C 335-337,S 272-274,1.72,0.80,0.58,0.65,1,1,1,1,,,,,2
6110s151,1965 Book Fair,In Stock,6110s151,0,"Sets, SS, FDC",C 338,S 275,0.26,0.24,0.26,0.16,1,1,1,1,,,,,2
6110s152,1965 Town Emblems I (19),In Stock,6110s152,0,"Sets, SS, FDC",C 339-357,"S 276-291, 334-336",7.00,1.60,1.40,1.60,1,1,1,1,,,,,2
6110s154,1965 17th Independence (Carrier),In Stock,6110s154,0,"Sets, SS, FDC",C 370,S 293,0.16,0.19,0.21,0.13,1,1,1,1,,,,,2
6110s155,1965 Concentration Camps,In Stock,6110s155,0,"Sets, SS, FDC",C 371,S 292,0.37,0.19,0.24,0.16,1,1,1,1,,,,,2
6110s156,1965 Cooperation Year,In Stock,6110s156,0,"Sets, SS, FDC",C 372,S 295,0.26,0.19,0.24,0.13,1,1,1,1,,,,,2
6110s157,1965 I.T.U.,In Stock,6110s157,0,"Sets, SS, FDC",C 375,S 294,0.26,0.19,0.24,0.13,1,1,1,1,,,,,2
6110s158,1965 Dead Sea Works,In Stock,6110s158,0,"Sets, SS, FDC","C 373,374","S 296,297",0.68,0.38,0.68,0.26,1,1,1,1,,,,,2
6110s159,1965 Festivals 5726 (Creation),In Stock,6110s159,0,"Sets, SS, FDC",C 376-381,S 298-303,1.17,1.00,1.12,0.84,1,1,1,1,,,,,2
6110s160,1965 Butterflies,In Stock,6110s160,0,"Sets, SS, FDC",C 382-385,S 304-307,0.50,0.48,0.47,0.37,1,1,1,1,,,,,2
6110s161,1966 Memorial Day,In Stock,6110s161,0,"Sets, SS, FDC",C 386,S 311,0.16,0.16,0.19,0.11,1,1,1,1,,,,,2
6110s162,1966 18th Independence,In Stock,6110s162,0,"Sets, SS, FDC",C 387-389,S 308-310,0.39,0.48,0.29,0.32,1,1,1,1,,,,,2
6110s163,1966 Road Safety,In Stock,6110s163,0,"Sets, SS, FDC",C 390-394,S 313-317,0.29,0.38,0.32,0.24,1,1,1,1,,,,,2
6110s164,1966 Knesset Building,In Stock,6110s164,0,"Sets, SS, FDC",C 395,S 312,0.39,0.24,0.26,0.21,1,1,1,1,,,,,2
6110s165,1966 Festivals 5727 (Ritual Art),In Stock,6110s165,0,"Sets, SS, FDC",C 396-400,S 318-322,0.64,0.66,0.45,0.50,1,1,1,1,,,,,2
6110s166,1966 Israel Museum (Ancient Sculpture 6),In Stock,6110s166,0,"Sets, SS, FDC",C 401-406,S 323-328,11.00,2.00,3.30,2.60,1,1,1,1,,,,,2
6110s167,1966 Cancer Research,In Stock,6110s167,0,"Sets, SS, FDC",C 407,S 333,0.16,0.16,0.19,0.11,1,1,1,1,,,,,2
6110s168,1966 Stamp Day (Postmen),In Stock,6110s168,0,"Sets, SS, FDC",C 408-411,S 313-317,0.55,0.48,0.37,0.37,1,1,1,1,,,,,2
6110s169,1967 Ancient Ports,In Stock,6110s169,0,"Sets, SS, FDC",C 412-414,S 337-339,0.94,0.66,0.47,0.45,1,1,1,1,,,,,2
6110s170,1967 Shulhan Arukh,In Stock,6110s170,0,"Sets, SS, FDC",C 415,S 340,0.24,0.19,0.21,0.13,1,1,1,1,,,,,2
6110s171,1967 Memorial Day,In Stock,6110s171,0,"Sets, SS, FDC",C 419,S 341,0.24,0.19,0.21,0.13,1,1,1,1,,,,,2
6110s172,1967 19th Independence (Aircrafts),In Stock,6110s172,0,"Sets, SS, FDC",C 416-418,S 342-344,0.78,0.48,0.42,0.39,1,1,1,1,,,,,2
6110s173,1967 ZAHAL Victory,In Stock,6110s173,0,"Sets, SS, FDC",C 420-422,S 345-347,0.34,0.38,0.34,0.29,1,1,1,1,,,,,2
6110s174,1967 Festivals 5728 (Torah Scrolls),In Stock,6110s174,0,"Sets, SS, FDC",C 423-427,S 348-352,0.63,0.69,0.50,0.50,1,1,1,1,,,,,2
6110s175,1967 Tourist Year,In Stock,6110s175,0,"Sets, SS, FDC",C 428-430,S 355-357,0.37,0.48,0.24,0.26,1,1,1,1,,,,,2
6110s176,1967 Balfour Declaration,In Stock,6110s176,0,"Sets, SS, FDC","C 431,432","S 353,354",0.29,0.24,0.24,0.21,1,1,1,1,,,,,2
6110s177,1967 Nature Reserves (Wild Animals),In Stock,6110s177,0,"Sets, SS, FDC",C 433-435,S 358-360,0.50,0.48,0.42,0.34,1,1,1,1,,,,,2
6110s178,1968 Airmail - Export (10),In Stock,6110s178,0,"Sets, SS, FDC",C 436-445,S C38-C47,2.16,1.20,1.60,1.30,1,1,1,1,,,,,2
6110s179,1968 Football Tournament,In Stock,6110s179,0,"Sets, SS, FDC",C 446,S 361,0.26,0.19,0.24,0.13,1,1,1,1,,,,,2
6110s180,1968 Ghetto Uprising,In Stock,6110s180,0,"Sets, SS, FDC",C 447,S 364,0.26,0.19,0.24,0.13,1,1,1,1,,,,,2
6110s181,1968 Memorial Day,In Stock,6110s181,0,"Sets, SS, FDC",C 448,S 366,0.20,0.14,0.21,0.13,1,1,1,1,,,,,2
6110s182,1968 20th Independence,In Stock,6110s182,0,"Sets, SS, FDC","C 449,450","S 362,363",0.26,0.24,0.26,0.20,1,1,1,1,,,,,2
6110s183,1968 ZAHAL,In Stock,6110s183,0,"Sets, SS, FDC",C 451,S 365,0.20,0.16,0.21,0.13,1,1,1,1,,,,,2
