name,number,href,items,notes,headers
"Forerunners (-1918)",11,http://www.bait-tov.com/store/proddet.php?SubCat=871&Mark=&Page=ALL,0,,
"Interim Period (Minhelet Ha'am)",12,http://www.bait-tov.com/store/proddet.php?SubCat=870&Mark=&Page=ALL,43,"The prices here for Mint or Used (Used have 20% more in value)
Catalogue: B-Bale©, O-Or©, W-Wallerstein©",ItemCode;Description;Catalog1;Catalog2;Price;Buy;OldPrice;Status;Pic
"International Reply Coupons",13,http://www.bait-tov.com/store/proddet.php?SubCat=893&Mark=&Page=ALL,24,"IRC Issued and printed by UPU with the Union's watermark
First day coupon cancellation (right column) or without cancellation (left column)
Catalogues: B-Bale©",ItemCode;Description;Catalog1;Price;Buy;OldPrice;PriceFDC;BuyFDC;OldPriceFDC;Status;Pic
"Joint Issues",14,http://www.bait-tov.com/store/proddet.php?SubCat=753&Mark=&Page=ALL,51,"for more joint issues see 'Souvenir Leaves' and 'Souvenir Folders'
First column Mint stamps
Catalogues: C-Carmel©, S-Scott©",ItemCode;Description;Catalog1;Catalog2;Price;Buy;OldPrice;PriceFDC;BuyFDC;OldPriceFDC;Status;Pic
"Maximum Cards",15,http://www.bait-tov.com/store/proddet.php?SubCat=732&Mark=&Page=ALL,38,"Two groups of Israel Maximum Cards, Private and Israel Philatelic Services issued
Private Maximum Cards were issued from 1954 for almost every stamp
Israel Philatelic Services Maximum Cards started in 1988, three or four stamps yearly",ItemCode;Description;Price;Buy;OldPrice;Status;Pic
"Ministry of Defense Covers",16,http://www.bait-tov.com/store/proddet.php?SubCat=780&Mark=&Page=ALL,66,"Issued as a Souvenir to the fallen families, every Memorial Day from 1952.
Size 24cm x 16cm, Canceled with First Day Cancellation.
Original include a facsimile letter signed by that time Minister, except first years.
The price here is for both cover and the letter, if you like the cover only, half price contact us.",ItemCode;Description;Price;Buy;OldPrice;Status;Pic
"New Year Greeting Cards",17,http://www.bait-tov.com/store/proddet.php?SubCat=751&Mark=&Page=ALL,36,,ItemCode;Description;Price;Buy;OldPrice;Status;Pic
Packets,18,http://www.bait-tov.com/store/proddet.php?SubCat=5&Mark=&Page=ALL,31,"All Different",ItemCode;Description;Price;Buy;OldPrice;Status;Pic
"Palestine Mandate",19,http://www.bait-tov.com/store/proddet.php?SubCat=872&Mark=&Page=ALL,3,"For Packets from Palestine see under 'Countries Packets'
Condition: M - Mint Never Hinged, H - Mint Hinged, U - Used
Catalogues: Scott© - S, Michel© - M",ItemCode;Description;Catalog1;Catalog2;Price;Buy;OldPrice;Status;Pic
"Postal Bank Stamps",20,http://www.bait-tov.com/store/proddet.php?SubCat=1134&Mark=&Page=ALL,2,"Postal Bank was opened in 1954
Two stamp sets were issued for Saving first set in 1954 and second for Children in 1960
Catalogues: B-Bale©",ItemCode;Description;Catalog1;Price;Buy;OldPrice;Status;Pic
"Postal Stationery",21,http://www.bait-tov.com/store/proddet.php?SubCat=873&Mark=&Page=ALL,427,"AL-Air Letters IL-Inland Letters IE-Inland Envelopes PC-Post Cards
The list is ordered by type/date; Twice value for unfolded letters
First column Mint
FDC-First Day Cancel
Catalogues: B-Bale©, P-Post©, S-Simon's©",ItemCode;Description;Catalog1;Catalog2;Price;Buy;OldPrice;PriceFDC;BuyFDC;OldPriceFDC;Status;Pic
"Revenue Stamps",22,http://www.bait-tov.com/store/proddet.php?SubCat=869&Mark=&Page=ALL,22,"The prices here for the most common form, Mint NH without attached (like tabs) in complete sets
The MNH attached (like tabs) prices are 3 times more
Used have 15% of the Mint stamps value
Basically we list here all Government Revenue stamps
Catalogues: W-Wallerstein©, B-Bale©",ItemCode;Description;Catalog1;Catalog2;Price;Buy;OldPrice;Status;Pic
"Souvenir Folders",23,http://www.bait-tov.com/store/proddet.php?SubCat=786&Mark=&Page=ALL,83,"Souvenir Folders issuing in various forms (folders, cards, booklets) for different events by the Philatelic Services and also by others, here we list only those IPS' permitted
Items 1-299 Issued by the Israel Philatelic Services
Items 301-499 Issued by the Israel Philatelic Federation
Items 501-699 Issued by the Event Organizing Committee
Booklets Canceled on FDC",ItemCode;Description;Price;Buy;OldPrice;Status;Pic
"Souvenir Leaves",24,http://www.bait-tov.com/store/proddet.php?SubCat=683&Mark=&Page=ALL,145,"Souvenir Leaves started in 1988 by the Philatelic Services
Two kinds exist, numbered leaves and the common which have no numbers
Catalogues: C-Carmel©, M-Moriah©",ItemCode;Description;Catalog1;Catalog2;Price;Buy;OldPrice;Status;Pic
"Special Sheets-Sheetlets-Combination",25,http://www.bait-tov.com/store/proddet.php?SubCat=8&Mark=&Page=ALL,353,"All Mint Never Hinged
Most items have FDC's not IPS issue
FDC's with minor differences as print date we don't list
Sheets in small format of maximum 10 stamps in a sheet, first appearing in 1995 (1962 Air Mail Eilat also have 9 stamps)
Catalogues: B-Bale©, C-Carmel©, M-Moriah©, S-Scott©
""My Own Stamp"", Full Sheets and Combination, Special Souvenir Sheets.",ItemCode;Description;Catalog1;Catalog2;Price;Buy;OldPrice;PriceFDC;BuyFDC;OldPriceFDC;Status;Pic
"Varieties and Variants",26,http://www.bait-tov.com/store/proddet.php?SubCat=805&Mark=&Page=ALL,140,"Varieties occurs in result of definitive stamps reprints, the first print is the Normal
All pictures show on the left the Normal and on the right the Variant for sale
We list here only the most common varieties
Left column Mint with tab, right column Mint no tab
Catalogues: B-Bale©, C-Carmel©, S-Scott©",ItemCode;Description;Catalog1;Catalog2;Price;Buy;OldPrice;PriceUsed;BuyUsed;OldPriceUsed;PriceFDC;BuyFDC;OldPriceFDC;PriceOther;BuyOther;OldPriceOther;Status;Pic
"Vending Machine Labels",27,http://www.bait-tov.com/store/proddet.php?SubCat=779&Mark=&Page=ALL,264,"Four ATM types exist: Frama 1988-98, Klussendorf 1990-99, Computerized (Massad) from 1991 (Maor) from 2008, Doarmat (Sima) from 2004
It's a complete list arranged by issued date, we list here and sell only the first basic 'long' tariff set values of the first day issued by the IPS Machine (no number or 001), the date is the first day of issued
Catalogues: C-Carmel©, B-Bale©",ItemCode;Description;Catalog1;Catalog2;Price;Buy;OldPrice;Status;Pic
"Year Sets",28,http://www.bait-tov.com/store/proddet.php?SubCat=7&Mark=&Page=ALL,77,"First column Mint stamps with full tabs NH.
Used stamps without tabs.
FDC exist to 1956 item 66 in two forms, no tabs IPS issue and tabs not IPS issue, later on tabs only IPS issue.
Prices here for FDC to item 66 no tabs and from item 67 tabs only.
FDC's of S/S issued by IPS exist from 1995 and before also for 'TAVIV' and 'TABIL' S/S.
'Other' column for mint without tabs.
Prices for used with tabs are half price of mint with tabs until the end of 1955 (except Doar Ivri) and from 1956 equal to mint with tabs, contact us.
Catalogues: C-Carmel©, S-Scott©.
Up to the end of 1999, the Israel Postal Authority have issued 1549 stamps (normally issued) including the stamps on S/S. Here the list contains in total 1559, 10 identical stamps: 1949 Tabul 3, 1976 Purim 3 and 1980 Magen David Adom 4. 2480 diff. stamps were issued to the end of 2017 (or 2523 with sheets: Halbanon, Memorial Day, Animation).",ItemCode;Description;Catalog1;Catalog2;Price;Buy;OldPrice;PriceUsed;BuyUsed;OldPriceUsed;PriceFDC;BuyFDC;OldPriceFDC;PriceOther;BuyOther;OldPriceOther;Status;Pic
"(X)Austria Judaica Tabs",-2,,68,"In
 1980 the Austrian Jewish Community, wanting to honour Theodore
 Herzl’s 120th Birthday, approached the Austrian Post Office
 and requested them to issue a stamp for this occasion. Realizing
 the international repercussions this would have in many Third World
 as well as Arab countries not favourably disposed towards Israel,
 the Post Office declined. Instead they suggested that a brief message
 be printed commemorating the event on the bottom row of 10 tabs
 adjoining most Austrian definitives. THE AUSTRIAN JUDAICA
 TAB SETS WERE BORN! 
 The first set featuring the first JNF stamp on the tab
 was immediately sold out. Subsequent sets were just as popular
 and many sets or single stamps were sold out within weeks of the
 day of issue. Distribution of the stamps was given exclusively
 to the “Friends
 of the Israel Philatelic Community” in Austria. Most issues were
 produced in quantities ranging from 1,000 to 2,000 sets. Some were
 produced in the low hundreds! From the onset, JUDAICA SALES has
 been fortunate in being able to acquire sufficient sets for all its
 customers. However, some sets and First Day Covers are now COMPLETELY
 SOLD OUT, and others are available in very limited quantities. Prices
 have remained reasonable for most issues. All sets issued to date are
 listed, including those NOT AVAILABLE (N/A). Items noted (---)
 in price column indicate item was never available. 
 A few sets
 and First Day Covers as well as special covers are available in
 some quantities.THESE ITEMS HAVE BEEN REDUCED A FULL 50% IN PRICE
 FROM PREVIOUS LISTS AND ARE BOLDLY HI-LITED IN ITALICS!! There
 is no better time than the present to complete your Austrian Judaica
 tab collection, or start one now. Please understand, however, that
 we cannot guarantee under any circumstances completion of your collection. We have re-numbered our Austrian Judaica Tabs to reflect the different
 number of issues and re-issues of various sets or singles to date.
 This allows you to determine which items are missing in your collection.
 All issues are listed including those not in stock. They are listed
 in chronological order, but due to a numbering error, two issues
 #AUI053 and 054 are listed out of place. Numbers followed by a dot
 and number (.1) are for diff covers of the same issue",Item#;Pic;Description;Mint;FDC
